beta-box [3.0000, 3.0010]: 21 t-boxes
beta-box [4.6110, 4.6120]: 92 t-boxes
beta-box [4.6120, 4.6130]: 92 t-boxes
beta-box [4.6130, 4.6140]: 92 t-boxes
beta-box [4.6140, 4.6150]: 92 t-boxes
beta-box [4.6150, 4.6160]: 93 t-boxes
beta-box [4.6160, 4.6170]: 93 t-boxes
beta-box [4.6170, 4.6180]: 93 t-boxes
beta-box [4.6180, 4.6190]: 93 t-boxes
beta-box [4.6190, 4.6200]: 93 t-boxes
beta-box [4.6200, 4.6210]: 93 t-boxes
beta-box [4.6210, 4.6220]: 94 t-boxes
beta-box [4.6220, 4.6230]: 94 t-boxes
beta-box [4.6230, 4.6240]: 94 t-boxes
beta-box [4.6240, 4.6250]: 95 t-boxes
beta-box [4.6250, 4.6260]: 95 t-boxes
beta-box [4.6260, 4.6270]: 95 t-boxes
beta-box [4.6270, 4.6280]: 95 t-boxes
beta-box [4.6280, 4.6290]: 95 t-boxes
beta-box [4.6290, 4.6300]: 95 t-boxes
beta-box [4.6300, 4.6310]: 95 t-boxes
beta-box [4.6310, 4.6320]: 95 t-boxes
beta-box [4.6320, 4.6330]: 95 t-boxes
beta-box [4.6330, 4.6340]: 95 t-boxes
beta-box [4.6340, 4.6350]: 95 t-boxes
beta-box [4.6350, 4.6360]: 95 t-boxes
beta-box [4.6360, 4.6370]: 95 t-boxes
beta-box [4.6370, 4.6380]: 95 t-boxes
beta-box [4.6380, 4.6390]: 95 t-boxes
beta-box [4.6390, 4.6400]: 95 t-boxes
beta-box [4.6400, 4.6410]: 95 t-boxes
beta-box [4.6410, 4.6420]: 95 t-boxes
beta-box [4.6420, 4.6430]: 95 t-boxes
beta-box [4.6430, 4.6440]: 96 t-boxes
beta-box [4.6440, 4.6450]: 96 t-boxes
beta-box [4.6450, 4.6460]: 96 t-boxes
beta-box [4.6460, 4.6470]: 96 t-boxes
beta-box [4.6470, 4.6480]: 96 t-boxes
beta-box [4.6480, 4.6490]: 96 t-boxes
beta-box [4.6490, 4.6500]: 96 t-boxes
beta-box [4.6500, 4.6510]: 96 t-boxes
beta-box [4.6510, 4.6520]: 96 t-boxes
beta-box [4.6520, 4.6530]: 96 t-boxes
beta-box [4.6530, 4.6540]: 96 t-boxes
beta-box [4.6540, 4.6550]: 96 t-boxes
beta-box [4.6550, 4.6560]: 96 t-boxes
beta-box [4.6560, 4.6570]: 96 t-boxes
beta-box [4.6570, 4.6580]: 96 t-boxes
beta-box [4.6580, 4.6590]: 96 t-boxes
beta-box [4.6590, 4.6600]: 96 t-boxes
beta-box [4.6600, 4.6610]: 96 t-boxes
beta-box [4.6610, 4.6620]: 96 t-boxes
beta-box [4.6620, 4.6630]: 96 t-boxes
beta-box [4.6630, 4.6640]: 97 t-boxes
beta-box [4.6640, 4.6650]: 97 t-boxes
beta-box [4.6650, 4.6660]: 97 t-boxes
beta-box [4.6660, 4.6670]: 98 t-boxes
beta-box [4.6670, 4.6680]: 99 t-boxes
beta-box [4.6680, 4.6690]: 99 t-boxes
beta-box [4.6690, 4.6700]: 99 t-boxes
beta-box [4.6700, 4.6710]: 99 t-boxes
beta-box [4.6710, 4.6720]: 99 t-boxes
beta-box [4.6720, 4.6730]: 99 t-boxes
beta-box [4.6730, 4.6740]: 99 t-boxes
beta-box [4.6740, 4.6750]: 99 t-boxes
beta-box [4.6750, 4.6760]: 99 t-boxes
beta-box [4.6760, 4.6770]: 99 t-boxes
beta-box [4.6770, 4.6780]: 99 t-boxes
beta-box [4.6780, 4.6790]: 99 t-boxes
beta-box [4.6790, 4.6800]: 99 t-boxes
beta-box [4.6800, 4.6810]: 99 t-boxes
beta-box [4.6810, 4.6820]: 99 t-boxes
beta-box [4.6820, 4.6830]: 99 t-boxes
beta-box [4.6830, 4.6840]: 99 t-boxes
beta-box [4.6840, 4.6850]: 99 t-boxes
beta-box [4.6850, 4.6860]: 99 t-boxes
beta-box [4.6860, 4.6870]: 99 t-boxes
beta-box [4.6870, 4.6880]: 99 t-boxes
beta-box [4.6880, 4.6890]: 100 t-boxes
beta-box [4.6890, 4.6900]: 100 t-boxes
beta-box [4.6900, 4.6910]: 100 t-boxes
beta-box [4.6910, 4.6920]: 100 t-boxes
beta-box [4.6920, 4.6930]: 100 t-boxes
beta-box [4.6930, 4.6940]: 100 t-boxes
beta-box [4.6940, 4.6950]: 100 t-boxes
beta-box [4.6950, 4.6960]: 100 t-boxes
beta-box [4.6960, 4.6970]: 101 t-boxes
beta-box [4.6970, 4.6980]: 101 t-boxes
beta-box [4.6980, 4.6990]: 101 t-boxes
beta-box [4.6990, 4.7000]: 101 t-boxes
beta-box [4.7000, 4.7010]: 101 t-boxes
beta-box [4.7010, 4.7020]: 102 t-boxes
beta-box [4.7020, 4.7030]: 102 t-boxes
beta-box [4.7030, 4.7040]: 102 t-boxes
beta-box [4.7040, 4.7050]: 102 t-boxes
beta-box [4.7050, 4.7060]: 102 t-boxes
beta-box [4.7060, 4.7070]: 102 t-boxes
beta-box [4.7070, 4.7080]: 102 t-boxes
beta-box [4.7080, 4.7090]: 102 t-boxes
beta-box [4.7090, 4.7100]: 102 t-boxes
beta-box [4.7100, 4.7110]: 102 t-boxes
beta-box [4.7110, 4.7120]: 103 t-boxes
beta-box [4.7120, 4.7130]: 103 t-boxes
beta-box [4.7130, 4.7140]: 103 t-boxes
beta-box [4.7140, 4.7150]: 103 t-boxes
beta-box [4.7150, 4.7160]: 103 t-boxes
beta-box [4.7160, 4.7170]: 103 t-boxes
beta-box [4.7170, 4.7180]: 103 t-boxes
beta-box [4.7180, 4.7190]: 103 t-boxes
beta-box [4.7190, 4.7200]: 103 t-boxes
beta-box [4.7200, 4.7210]: 103 t-boxes
beta-box [4.7210, 4.7220]: 103 t-boxes
beta-box [4.7220, 4.7230]: 103 t-boxes
beta-box [4.7230, 4.7240]: 103 t-boxes
beta-box [4.7240, 4.7250]: 103 t-boxes
beta-box [4.7250, 4.7260]: 103 t-boxes
beta-box [4.7260, 4.7270]: 104 t-boxes
beta-box [4.7270, 4.7280]: 104 t-boxes
beta-box [4.7280, 4.7290]: 104 t-boxes
beta-box [4.7290, 4.7300]: 104 t-boxes
beta-box [4.7300, 4.7310]: 104 t-boxes
beta-box [4.7310, 4.7320]: 104 t-boxes
beta-box [4.7320, 4.7330]: 104 t-boxes
beta-box [4.7330, 4.7340]: 105 t-boxes
beta-box [4.7340, 4.7350]: 105 t-boxes
beta-box [4.7350, 4.7360]: 105 t-boxes
beta-box [4.7360, 4.7370]: 105 t-boxes
beta-box [4.7370, 4.7380]: 105 t-boxes
beta-box [4.7380, 4.7390]: 105 t-boxes
beta-box [4.7390, 4.7400]: 106 t-boxes
beta-box [4.7400, 4.7410]: 106 t-boxes
beta-box [4.7410, 4.7420]: 106 t-boxes
beta-box [4.7420, 4.7430]: 106 t-boxes
beta-box [4.7430, 4.7440]: 107 t-boxes
beta-box [4.7440, 4.7450]: 107 t-boxes
beta-box [4.7450, 4.7460]: 107 t-boxes
beta-box [4.7460, 4.7470]: 107 t-boxes
beta-box [4.7470, 4.7480]: 107 t-boxes
beta-box [4.7480, 4.7490]: 107 t-boxes
beta-box [4.7490, 4.7500]: 107 t-boxes
beta-box [4.7500, 4.7510]: 107 t-boxes
beta-box [4.7510, 4.7520]: 107 t-boxes
beta-box [4.7520, 4.7530]: 107 t-boxes
beta-box [4.7530, 4.7540]: 107 t-boxes
beta-box [4.7540, 4.7550]: 107 t-boxes
beta-box [4.7550, 4.7560]: 108 t-boxes
beta-box [4.7560, 4.7570]: 109 t-boxes
beta-box [4.7570, 4.7580]: 109 t-boxes
beta-box [4.7580, 4.7590]: 109 t-boxes
beta-box [4.7590, 4.7600]: 109 t-boxes
beta-box [4.7600, 4.7610]: 109 t-boxes
beta-box [4.7610, 4.7620]: 109 t-boxes
beta-box [4.7620, 4.7630]: 109 t-boxes
beta-box [4.7630, 4.7640]: 109 t-boxes
beta-box [4.7640, 4.7650]: 109 t-boxes
beta-box [4.7650, 4.7660]: 109 t-boxes
beta-box [4.7660, 4.7670]: 109 t-boxes
beta-box [4.7670, 4.7680]: 109 t-boxes
beta-box [4.7680, 4.7690]: 109 t-boxes
beta-box [4.7690, 4.7700]: 109 t-boxes
beta-box [4.7700, 4.7710]: 109 t-boxes
beta-box [4.7710, 4.7720]: 109 t-boxes
beta-box [4.7720, 4.7730]: 109 t-boxes
beta-box [4.7730, 4.7740]: 109 t-boxes
beta-box [4.7740, 4.7750]: 109 t-boxes
beta-box [4.7750, 4.7760]: 109 t-boxes
beta-box [4.7760, 4.7770]: 109 t-boxes
beta-box [4.7770, 4.7780]: 111 t-boxes
beta-box [4.7780, 4.7790]: 111 t-boxes
beta-box [4.7790, 4.7800]: 111 t-boxes
beta-box [4.7800, 4.7810]: 111 t-boxes
beta-box [4.7810, 4.7820]: 111 t-boxes
beta-box [4.7820, 4.7830]: 111 t-boxes
beta-box [4.7830, 4.7840]: 111 t-boxes
beta-box [4.7840, 4.7850]: 111 t-boxes
beta-box [4.7850, 4.7860]: 112 t-boxes
beta-box [4.7860, 4.7870]: 112 t-boxes
beta-box [4.7870, 4.7880]: 112 t-boxes
beta-box [4.7880, 4.7890]: 112 t-boxes
beta-box [4.7890, 4.7900]: 112 t-boxes
beta-box [4.7900, 4.7910]: 112 t-boxes
beta-box [4.7910, 4.7920]: 112 t-boxes
beta-box [4.7920, 4.7930]: 112 t-boxes
beta-box [4.7930, 4.7940]: 112 t-boxes
beta-box [4.7940, 4.7950]: 112 t-boxes
beta-box [4.7950, 4.7960]: 112 t-boxes
beta-box [4.7960, 4.7970]: 112 t-boxes
beta-box [4.7970, 4.7980]: 112 t-boxes
beta-box [4.7980, 4.7990]: 112 t-boxes
beta-box [4.7990, 4.8000]: 112 t-boxes
beta-box [4.8000, 4.8010]: 113 t-boxes
beta-box [4.8010, 4.8020]: 113 t-boxes
beta-box [4.8020, 4.8030]: 113 t-boxes
beta-box [4.8030, 4.8040]: 113 t-boxes
beta-box [4.8040, 4.8050]: 113 t-boxes
beta-box [4.8050, 4.8060]: 113 t-boxes
beta-box [4.8060, 4.8070]: 113 t-boxes
beta-box [4.8070, 4.8080]: 113 t-boxes
beta-box [4.8080, 4.8090]: 113 t-boxes
beta-box [4.8090, 4.8100]: 113 t-boxes
beta-box [4.8100, 4.8110]: 113 t-boxes
beta-box [4.8110, 4.8120]: 113 t-boxes
beta-box [4.8120, 4.8130]: 113 t-boxes
beta-box [4.8130, 4.8140]: 113 t-boxes
beta-box [4.8140, 4.8150]: 113 t-boxes
beta-box [4.8150, 4.8160]: 114 t-boxes
beta-box [4.8160, 4.8170]: 114 t-boxes
beta-box [4.8170, 4.8180]: 114 t-boxes
beta-box [4.8180, 4.8190]: 115 t-boxes
beta-box [4.8190, 4.8200]: 115 t-boxes
beta-box [4.8200, 4.8210]: 115 t-boxes
beta-box [4.8210, 4.8220]: 115 t-boxes
beta-box [4.8220, 4.8230]: 116 t-boxes
beta-box [4.8230, 4.8240]: 116 t-boxes
beta-box [4.8240, 4.8250]: 116 t-boxes
beta-box [4.8250, 4.8260]: 116 t-boxes
beta-box [4.8260, 4.8270]: 116 t-boxes
beta-box [4.8270, 4.8280]: 116 t-boxes
beta-box [4.8280, 4.8290]: 116 t-boxes
beta-box [4.8290, 4.8300]: 116 t-boxes
beta-box [4.8300, 4.8310]: 116 t-boxes
beta-box [4.8310, 4.8320]: 116 t-boxes
beta-box [4.8320, 4.8330]: 116 t-boxes
beta-box [4.8330, 4.8340]: 116 t-boxes
beta-box [4.8340, 4.8350]: 116 t-boxes
beta-box [4.8350, 4.8360]: 116 t-boxes
beta-box [4.8360, 4.8370]: 116 t-boxes
beta-box [4.8370, 4.8380]: 116 t-boxes
beta-box [4.8380, 4.8390]: 116 t-boxes
beta-box [4.8390, 4.8400]: 116 t-boxes
beta-box [4.8400, 4.8410]: 116 t-boxes
beta-box [4.8410, 4.8420]: 116 t-boxes
beta-box [4.8420, 4.8430]: 116 t-boxes
beta-box [4.8430, 4.8440]: 117 t-boxes
beta-box [4.8440, 4.8450]: 118 t-boxes
beta-box [4.8450, 4.8460]: 118 t-boxes
beta-box [4.8460, 4.8470]: 118 t-boxes
beta-box [4.8470, 4.8480]: 118 t-boxes
beta-box [4.8480, 4.8490]: 119 t-boxes
beta-box [4.8490, 4.8500]: 119 t-boxes
beta-box [4.8500, 4.8510]: 119 t-boxes
beta-box [4.8510, 4.8520]: 119 t-boxes
beta-box [4.8520, 4.8530]: 119 t-boxes
beta-box [4.8530, 4.8540]: 120 t-boxes
beta-box [4.8540, 4.8550]: 120 t-boxes
beta-box [4.8550, 4.8560]: 120 t-boxes
beta-box [4.8560, 4.8570]: 120 t-boxes
beta-box [4.8570, 4.8580]: 120 t-boxes
beta-box [4.8580, 4.8590]: 120 t-boxes
beta-box [4.8590, 4.8600]: 120 t-boxes
beta-box [4.8600, 4.8610]: 121 t-boxes
beta-box [4.8610, 4.8620]: 121 t-boxes
beta-box [4.8620, 4.8630]: 121 t-boxes
beta-box [4.8630, 4.8640]: 121 t-boxes
beta-box [4.8640, 4.8650]: 121 t-boxes
beta-box [4.8650, 4.8660]: 121 t-boxes
beta-box [4.8660, 4.8670]: 122 t-boxes
beta-box [4.8670, 4.8680]: 122 t-boxes
beta-box [4.8680, 4.8690]: 122 t-boxes
beta-box [4.8690, 4.8700]: 122 t-boxes
beta-box [4.8700, 4.8710]: 122 t-boxes
beta-box [4.8710, 4.8720]: 122 t-boxes
beta-box [4.8720, 4.8730]: 122 t-boxes
beta-box [4.8730, 4.8740]: 123 t-boxes
beta-box [4.8740, 4.8750]: 123 t-boxes
beta-box [4.8750, 4.8760]: 123 t-boxes
beta-box [4.8760, 4.8770]: 123 t-boxes
beta-box [4.8770, 4.8780]: 123 t-boxes
beta-box [4.8780, 4.8790]: 123 t-boxes
beta-box [4.8790, 4.8800]: 123 t-boxes
beta-box [4.8800, 4.8810]: 123 t-boxes
beta-box [4.8810, 4.8820]: 123 t-boxes
beta-box [4.8820, 4.8830]: 123 t-boxes
beta-box [4.8830, 4.8840]: 123 t-boxes
beta-box [4.8840, 4.8850]: 124 t-boxes
beta-box [4.8850, 4.8860]: 125 t-boxes
beta-box [4.8860, 4.8870]: 125 t-boxes
beta-box [4.8870, 4.8880]: 126 t-boxes
beta-box [4.8880, 4.8890]: 126 t-boxes
beta-box [4.8890, 4.8900]: 126 t-boxes
beta-box [4.8900, 4.8910]: 126 t-boxes
beta-box [4.8910, 4.8920]: 127 t-boxes
beta-box [4.8920, 4.8930]: 127 t-boxes
beta-box [4.8930, 4.8940]: 127 t-boxes
beta-box [4.8940, 4.8950]: 127 t-boxes
beta-box [4.8950, 4.8960]: 128 t-boxes
beta-box [4.8960, 4.8970]: 128 t-boxes
beta-box [4.8970, 4.8980]: 129 t-boxes
beta-box [4.8980, 4.8990]: 129 t-boxes
beta-box [4.8990, 4.9000]: 129 t-boxes
beta-box [4.9000, 4.9010]: 129 t-boxes
beta-box [4.9010, 4.9020]: 129 t-boxes
beta-box [4.9020, 4.9030]: 130 t-boxes
beta-box [4.9030, 4.9040]: 130 t-boxes
beta-box [4.9040, 4.9050]: 130 t-boxes
beta-box [4.9050, 4.9060]: 130 t-boxes
beta-box [4.9060, 4.9070]: 130 t-boxes
beta-box [4.9070, 4.9080]: 130 t-boxes
beta-box [4.9080, 4.9090]: 130 t-boxes
beta-box [4.9090, 4.9100]: 131 t-boxes
beta-box [4.9100, 4.9110]: 132 t-boxes
beta-box [4.9110, 4.9120]: 132 t-boxes
beta-box [4.9120, 4.9130]: 132 t-boxes
beta-box [4.9130, 4.9140]: 132 t-boxes
beta-box [4.9140, 4.9150]: 132 t-boxes
beta-box [4.9150, 4.9160]: 132 t-boxes
beta-box [4.9160, 4.9170]: 132 t-boxes
beta-box [4.9170, 4.9180]: 132 t-boxes
beta-box [4.9180, 4.9190]: 132 t-boxes
beta-box [4.9190, 4.9200]: 132 t-boxes
beta-box [4.9200, 4.9210]: 132 t-boxes
beta-box [4.9210, 4.9220]: 132 t-boxes
beta-box [4.9220, 4.9230]: 133 t-boxes
beta-box [4.9230, 4.9240]: 133 t-boxes
beta-box [4.9240, 4.9250]: 133 t-boxes
beta-box [4.9250, 4.9260]: 133 t-boxes
beta-box [4.9260, 4.9270]: 133 t-boxes
beta-box [4.9270, 4.9280]: 133 t-boxes
beta-box [4.9280, 4.9290]: 134 t-boxes
beta-box [4.9290, 4.9300]: 134 t-boxes
beta-box [4.9300, 4.9310]: 134 t-boxes
beta-box [4.9310, 4.9320]: 135 t-boxes
beta-box [4.9320, 4.9330]: 135 t-boxes
beta-box [4.9330, 4.9340]: 135 t-boxes
beta-box [4.9340, 4.9350]: 136 t-boxes
beta-box [4.9350, 4.9360]: 136 t-boxes
beta-box [4.9360, 4.9370]: 136 t-boxes
beta-box [4.9370, 4.9380]: 136 t-boxes
beta-box [4.9380, 4.9390]: 136 t-boxes
beta-box [4.9390, 4.9400]: 136 t-boxes
beta-box [4.9400, 4.9410]: 136 t-boxes
beta-box [4.9410, 4.9420]: 136 t-boxes
beta-box [4.9420, 4.9430]: 136 t-boxes
beta-box [4.9430, 4.9440]: 136 t-boxes
beta-box [4.9440, 4.9450]: 136 t-boxes
beta-box [4.9450, 4.9460]: 136 t-boxes
beta-box [4.9460, 4.9470]: 137 t-boxes
beta-box [4.9470, 4.9480]: 137 t-boxes
beta-box [4.9480, 4.9490]: 137 t-boxes
beta-box [4.9490, 4.9500]: 137 t-boxes
beta-box [4.9500, 4.9510]: 137 t-boxes
beta-box [4.9510, 4.9520]: 137 t-boxes
beta-box [4.9520, 4.9530]: 137 t-boxes
beta-box [4.9530, 4.9540]: 138 t-boxes
beta-box [4.9540, 4.9550]: 138 t-boxes
beta-box [4.9550, 4.9560]: 139 t-boxes
beta-box [4.9560, 4.9570]: 139 t-boxes
beta-box [4.9570, 4.9580]: 139 t-boxes
beta-box [4.9580, 4.9590]: 139 t-boxes
beta-box [4.9590, 4.9600]: 140 t-boxes
beta-box [4.9600, 4.9610]: 140 t-boxes
beta-box [4.9610, 4.9620]: 141 t-boxes
beta-box [4.9620, 4.9630]: 141 t-boxes
beta-box [4.9630, 4.9640]: 141 t-boxes
beta-box [4.9640, 4.9650]: 141 t-boxes
beta-box [4.9650, 4.9660]: 141 t-boxes
beta-box [4.9660, 4.9670]: 142 t-boxes
beta-box [4.9670, 4.9680]: 142 t-boxes
beta-box [4.9680, 4.9690]: 142 t-boxes
beta-box [4.9690, 4.9700]: 142 t-boxes
beta-box [4.9700, 4.9710]: 142 t-boxes
beta-box [4.9710, 4.9720]: 143 t-boxes
beta-box [4.9720, 4.9730]: 143 t-boxes
beta-box [4.9730, 4.9740]: 143 t-boxes
beta-box [4.9740, 4.9750]: 144 t-boxes
beta-box [4.9750, 4.9760]: 144 t-boxes
beta-box [4.9760, 4.9770]: 144 t-boxes
beta-box [4.9770, 4.9780]: 144 t-boxes
beta-box [4.9780, 4.9790]: 144 t-boxes
beta-box [4.9790, 4.9800]: 144 t-boxes
beta-box [4.9800, 4.9810]: 144 t-boxes
beta-box [4.9810, 4.9820]: 144 t-boxes
beta-box [4.9820, 4.9830]: 144 t-boxes
beta-box [4.9830, 4.9840]: 145 t-boxes
beta-box [4.9840, 4.9850]: 145 t-boxes
beta-box [4.9850, 4.9860]: 145 t-boxes
beta-box [4.9860, 4.9870]: 145 t-boxes
beta-box [4.9870, 4.9880]: 145 t-boxes
beta-box [4.9880, 4.9890]: 145 t-boxes
beta-box [4.9890, 4.9900]: 145 t-boxes
beta-box [4.9900, 4.9910]: 145 t-boxes
beta-box [4.9910, 4.9920]: 145 t-boxes
beta-box [4.9920, 4.9930]: 145 t-boxes
beta-box [4.9930, 4.9940]: 145 t-boxes
beta-box [4.9940, 4.9950]: 145 t-boxes
beta-box [4.9950, 4.9960]: 147 t-boxes
beta-box [4.9960, 4.9970]: 147 t-boxes
beta-box [4.9970, 4.9980]: 147 t-boxes
beta-box [4.9980, 4.9990]: 147 t-boxes
beta-box [4.9990, 5.0000]: 147 t-boxes
beta-box [5.0000, 5.0010]: 147 t-boxes
beta-box [5.0010, 5.0020]: 147 t-boxes
beta-box [5.0020, 5.0030]: 147 t-boxes
beta-box [5.0030, 5.0040]: 147 t-boxes
beta-box [5.0040, 5.0050]: 148 t-boxes
beta-box [5.0050, 5.0060]: 148 t-boxes
beta-box [5.0060, 5.0070]: 148 t-boxes
beta-box [5.0070, 5.0080]: 149 t-boxes
beta-box [5.0080, 5.0090]: 149 t-boxes
beta-box [5.0090, 5.0100]: 149 t-boxes
beta-box [5.0100, 5.0110]: 149 t-boxes
beta-box [5.0110, 5.0120]: 149 t-boxes
beta-box [5.0120, 5.0130]: 149 t-boxes
beta-box [5.0130, 5.0140]: 149 t-boxes
beta-box [5.0140, 5.0150]: 149 t-boxes
beta-box [5.0150, 5.0160]: 149 t-boxes
beta-box [5.0160, 5.0170]: 150 t-boxes
beta-box [5.0170, 5.0180]: 150 t-boxes
beta-box [5.0180, 5.0190]: 150 t-boxes
beta-box [5.0190, 5.0200]: 151 t-boxes
beta-box [5.0200, 5.0210]: 151 t-boxes
beta-box [5.0210, 5.0220]: 152 t-boxes
beta-box [5.0220, 5.0230]: 152 t-boxes
beta-box [5.0230, 5.0240]: 152 t-boxes
beta-box [5.0240, 5.0250]: 152 t-boxes
beta-box [5.0250, 5.0260]: 152 t-boxes
beta-box [5.0260, 5.0270]: 152 t-boxes
beta-box [5.0270, 5.0280]: 152 t-boxes
beta-box [5.0280, 5.0290]: 152 t-boxes
beta-box [5.0290, 5.0300]: 152 t-boxes
beta-box [5.0300, 5.0310]: 152 t-boxes
beta-box [5.0310, 5.0320]: 153 t-boxes
beta-box [5.0320, 5.0330]: 154 t-boxes
beta-box [5.0330, 5.0340]: 154 t-boxes
beta-box [5.0340, 5.0350]: 154 t-boxes
beta-box [5.0350, 5.0360]: 154 t-boxes
beta-box [5.0360, 5.0370]: 154 t-boxes
beta-box [5.0370, 5.0380]: 155 t-boxes
beta-box [5.0380, 5.0390]: 155 t-boxes
beta-box [5.0390, 5.0400]: 155 t-boxes
beta-box [5.0400, 5.0410]: 155 t-boxes
beta-box [5.0410, 5.0420]: 156 t-boxes
beta-box [5.0420, 5.0430]: 156 t-boxes
beta-box [5.0430, 5.0440]: 157 t-boxes
beta-box [5.0440, 5.0450]: 157 t-boxes
beta-box [5.0450, 5.0460]: 157 t-boxes
beta-box [5.0460, 5.0470]: 157 t-boxes
beta-box [5.0470, 5.0480]: 157 t-boxes
beta-box [5.0480, 5.0490]: 157 t-boxes
beta-box [5.0490, 5.0500]: 157 t-boxes
beta-box [5.0500, 5.0510]: 157 t-boxes
beta-box [5.0510, 5.0520]: 157 t-boxes
beta-box [5.0520, 5.0530]: 157 t-boxes
beta-box [5.0530, 5.0540]: 157 t-boxes
beta-box [5.0540, 5.0550]: 157 t-boxes
beta-box [5.0550, 5.0560]: 158 t-boxes
beta-box [5.0560, 5.0570]: 158 t-boxes
beta-box [5.0570, 5.0580]: 159 t-boxes
beta-box [5.0580, 5.0590]: 159 t-boxes
beta-box [5.0590, 5.0600]: 159 t-boxes
beta-box [5.0600, 5.0610]: 159 t-boxes
beta-box [5.0610, 5.0620]: 159 t-boxes
beta-box [5.0620, 5.0630]: 159 t-boxes
beta-box [5.0630, 5.0640]: 159 t-boxes
beta-box [5.0640, 5.0650]: 159 t-boxes
beta-box [5.0650, 5.0660]: 159 t-boxes
beta-box [5.0660, 5.0670]: 159 t-boxes
beta-box [5.0670, 5.0680]: 160 t-boxes
beta-box [5.0680, 5.0690]: 160 t-boxes
beta-box [5.0690, 5.0700]: 160 t-boxes
beta-box [5.0700, 5.0710]: 160 t-boxes
beta-box [5.0710, 5.0720]: 160 t-boxes
beta-box [5.0720, 5.0730]: 160 t-boxes
beta-box [5.0730, 5.0740]: 160 t-boxes
beta-box [5.0740, 5.0750]: 160 t-boxes
beta-box [5.0750, 5.0760]: 160 t-boxes
beta-box [5.0760, 5.0770]: 160 t-boxes
beta-box [5.0770, 5.0780]: 160 t-boxes
beta-box [5.0780, 5.0790]: 161 t-boxes
beta-box [5.0790, 5.0800]: 163 t-boxes
beta-box [5.0800, 5.0810]: 163 t-boxes
beta-box [5.0810, 5.0820]: 164 t-boxes
beta-box [5.0820, 5.0830]: 165 t-boxes
beta-box [5.0830, 5.0840]: 165 t-boxes
beta-box [5.0840, 5.0850]: 165 t-boxes
beta-box [5.0850, 5.0860]: 165 t-boxes
beta-box [5.0860, 5.0870]: 165 t-boxes
beta-box [5.0870, 5.0880]: 165 t-boxes
beta-box [5.0880, 5.0890]: 165 t-boxes
beta-box [5.0890, 5.0900]: 165 t-boxes
beta-box [5.0900, 5.0910]: 165 t-boxes
beta-box [5.0910, 5.0920]: 166 t-boxes
beta-box [5.0920, 5.0930]: 166 t-boxes
beta-box [5.0930, 5.0940]: 166 t-boxes
beta-box [5.0940, 5.0950]: 166 t-boxes
beta-box [5.0950, 5.0960]: 166 t-boxes
beta-box [5.0960, 5.0970]: 166 t-boxes
beta-box [5.0970, 5.0980]: 166 t-boxes
beta-box [5.0980, 5.0990]: 166 t-boxes
beta-box [5.0990, 5.1000]: 167 t-boxes
beta-box [5.1000, 5.1010]: 167 t-boxes
beta-box [5.1010, 5.1020]: 167 t-boxes
beta-box [5.1020, 5.1030]: 167 t-boxes
beta-box [5.1030, 5.1040]: 168 t-boxes
beta-box [5.1040, 5.1050]: 168 t-boxes
beta-box [5.1050, 5.1060]: 168 t-boxes
beta-box [5.1060, 5.1070]: 168 t-boxes
beta-box [5.1070, 5.1080]: 168 t-boxes
beta-box [5.1080, 5.1090]: 168 t-boxes
beta-box [5.1090, 5.1100]: 168 t-boxes
beta-box [5.1100, 5.1110]: 168 t-boxes
beta-box [5.1110, 5.1120]: 168 t-boxes
beta-box [5.1120, 5.1130]: 169 t-boxes
beta-box [5.1130, 5.1140]: 169 t-boxes
beta-box [5.1140, 5.1150]: 171 t-boxes
beta-box [5.1150, 5.1160]: 172 t-boxes
beta-box [5.1160, 5.1170]: 172 t-boxes
beta-box [5.1170, 5.1180]: 172 t-boxes
beta-box [5.1180, 5.1190]: 172 t-boxes
beta-box [5.1190, 5.1200]: 174 t-boxes
beta-box [5.1200, 5.1210]: 174 t-boxes
beta-box [5.1210, 5.1220]: 174 t-boxes
beta-box [5.1220, 5.1230]: 174 t-boxes
beta-box [5.1230, 5.1240]: 174 t-boxes
beta-box [5.1240, 5.1250]: 174 t-boxes
beta-box [5.1250, 5.1260]: 175 t-boxes
beta-box [5.1260, 5.1270]: 175 t-boxes
beta-box [5.1270, 5.1280]: 176 t-boxes
beta-box [5.1280, 5.1290]: 176 t-boxes
beta-box [5.1290, 5.1300]: 176 t-boxes
beta-box [5.1300, 5.1310]: 176 t-boxes
beta-box [5.1310, 5.1320]: 177 t-boxes
beta-box [5.1320, 5.1330]: 177 t-boxes
beta-box [5.1330, 5.1340]: 177 t-boxes
beta-box [5.1340, 5.1350]: 177 t-boxes
beta-box [5.1350, 5.1360]: 177 t-boxes
beta-box [5.1360, 5.1370]: 177 t-boxes
beta-box [5.1370, 5.1380]: 177 t-boxes
beta-box [5.1380, 5.1390]: 179 t-boxes
beta-box [5.1390, 5.1400]: 179 t-boxes
beta-box [5.1400, 5.1410]: 180 t-boxes
beta-box [5.1410, 5.1420]: 180 t-boxes
beta-box [5.1420, 5.1430]: 180 t-boxes
beta-box [5.1430, 5.1440]: 181 t-boxes
beta-box [5.1440, 5.1450]: 182 t-boxes
beta-box [5.1450, 5.1460]: 183 t-boxes
beta-box [5.1460, 5.1470]: 183 t-boxes
beta-box [5.1470, 5.1480]: 183 t-boxes
